id	name
1	Álfhildr
2	Arnbjörg
3	Arndís
4	Arnfridr
5	Arngerdr
6	Arngunnr
7	Arnlaug
8	Ásbjörg
9	Ásfrídr
10	Ásgerdr
11	Ásgunnr
12	Ásný
13	Ástrídr
14	Dís
15	Eybjörg
16	Eydís
17	Freydís
18	Freygerdr
19	Freygunnr
20	Frída
21	Geira
22	Geirbjörg
23	Geirhildr
24	Geirlaug
25	Geirrídr
26	Gíslaug
27	Gróa
28	Gunna
29	Gunnfrídr
30	Gunnheidr
31	Gunnhildr
32	Gunnlaug
33	Gunnvör
34	Gyda
35	Halla
36	Hallbera
37	Hallbjörg
38	Halldís
39	Hallfrídr
40	Hallgerdr
41	Hallthóra
42	Hallveig
43	Heimlaug
44	Helga
45	Herdís
46	Herfrídr
47	Hergerdr
48	Hergunnr
49	Herthrúdr
50	Hildibjörg
51	Hildigerdr
52	Hildigunnr
53	Hildr
54	Hlíf
55	Hlífhildr
56	Hólmfrídr
57	Hólmgerdr
58	Hólmlaug
59	Hrefna
60	Inga
61	Ingibjörg
62	Ingigerdr
63	Ingileif
64	Ingirídr
65	Jófrídr
66	Jórunn
67	Ketillaug
68	Ketilrídr
69	Mær
70	Magnhildr
71	Mundgerdr
72	Oddbjörg
73	Oddfridr
74	Oddný
75	Ragnbjörg
76	Ragnfrídr
77	Ragnhildr
78	Rannveig
79	Sigbjörg
80	Signý
81	Sigrídr
82	Sigrún
83	Sigthrúdr
84	Snælaug
85	Steinbjörg
86	Steinfrídr
87	Thúrídr
88	Thyri
89	Úlfhildr
90	Ulla
91	Ullgerdr
92	Ullgunnr
93	Ullhildr
94	Ullunn
95	Ullvé
96	Ullvör
97	Unna
98	Unnr
99	Véfrídr
100	Végerdr
